kind,identifier,detail
differing_names_same_isin,INE021A01026,Asian Paints Limited | Asian Paints Ltd
differing_names_same_isin,INE022I01019,Asian Granito India Limited | Asian Granito India Ltd
differing_names_same_isin,INE822B01017,Asian Tea & Exports Limited | Asian Tea & Exports Ltd
differing_names_same_isin,INE491J01022,ASK Automotive Limited | ASK Automotive Ltd
differing_names_same_isin,INE855F01042,Avio Smart Market Stack Limited | Avio Smart Market Stack Ltd
differing_names_same_isin,INE165G01010,Assam Entrade Limited | Assam Entrade Ltd
differing_names_same_isin,INE194D01017,Asian Star Company Limited | Asian Star Company Ltd
differing_names_same_isin,INE563J01010,Astec LifeSciences Limited | Astec Lifesciences Ltd
differing_names_same_isin,INE914M01019,Aster DM Quality Care Limited | Aster DM Quality Care Ltd
differing_names_same_isin,INE006I01046,Astral Limited | Astral Ltd
differing_names_same_isin,INE386C01029,Astra Microwave Products Limited | Astra Microwave Products Ltd
differing_names_same_isin,INE203A01020,AstraZeneca Pharma India Limited | AstraZeneca Pharma India Ltd
differing_names_same_isin,INE646X01014,Astron Paper & Board Mill Limited | Astron Paper & Board Mill Ltd
differing_names_same_isin,INE0ALR01029,Atal Realtech Limited | Atal Realtech Ltd
differing_names_same_isin,INE09KD01013,Atam Valves Limited | Atam Valves Ltd
differing_names_same_isin,INE399L01023,Adani Total Gas Limited | Adani Total Gas Ltd
differing_names_same_isin,INE0LEZ01016,Ather Energy Limited | Ather Energy Ltd
differing_names_same_isin,INE0NN701020,Allcargo Terminals Limited | Allcargo Terminals Ltd
differing_names_same_isin,INE285H01022,ATLANTAA LIMITED | Atlantaa Ltd
differing_names_same_isin,INE0Z4F01028,Atlanta Electricals Limited | Atlanta Electricals Ltd
differing_names_same_isin,INE446A01025,Atlas Cycles (Haryana) Limited | Atlas Cycles (Haryana) Ltd
differing_names_same_isin,INE100A01010,Atul Limited | Atul Ltd
differing_names_same_isin,INE951D01028,Atul Auto Limited | Atul Auto Ltd
differing_names_same_isin,INE949L01017,AU Small Finance Bank Limited | AU Small Finance Bank Ltd
differing_names_same_isin,INE16W401027,Augmont Enterprises Limited | Augmont Enterprises Ltd
differing_names_same_isin,INE132H01018,Aurionpro Solutions Limited | Aurionpro Solutions Ltd
differing_names_same_isin,INE406A01037,Aurobindo Pharma Limited | Aurobindo Pharma Ltd
differing_names_same_isin,INE898S01029,Aurum PropTech Limited | Aurum PropTech Ltd
differing_names_same_isin,INE142K01011,AURUS GEM CORPORATION LIMITED | Aurus Gem Corporation Ltd
differing_names_same_isin,INE218C01016,AuSom Enterprise Ltd | Ausom Enterprise Limited
differing_names_same_isin,INE759F01012,Austin Engineering Company  Limited | Austin Engineering Company Ltd
differing_names_same_isin,INE449A01011,Automotive Axles Limited | Automotive Axles Ltd
differing_names_same_isin,INE718H01014,Autoline Industries Limited | Autoline Industries Ltd
differing_names_same_isin,INE349W01017,Avadh Sugar & Energy Limited | Avadh Sugar & Energy Ltd
differing_names_same_isin,INE0LCL01028,Avalon Technologies Limited | Avalon Technologies Ltd
differing_names_same_isin,INE758A01072,Avance Technologies Limited | Avance Technologies Ltd
differing_names_same_isin,INE005B01027,Avantel Limited | Avantel Ltd
differing_names_same_isin,INE871C01038,Avanti Feeds Limited | Avanti Feeds Ltd
differing_names_same_isin,INE680Z01018,AVG Logistics Limited | AVG Logistics Ltd
differing_names_same_isin,INE679V01027,Aditya Vision Limited | Aditya Vision Ltd
differing_names_same_isin,INE323B01024,Avonmore Capital & Management Services Limited | Avonmore Capital & Management Services Ltd
differing_names_same_isin,INE652Z01025,AVRO INDIA LIMITED | Avro India Ltd
differing_names_same_isin,INE488D01021,AVT Natural Products Limited | AVT Natural Products Ltd
differing_names_same_isin,INE108V01019,Awfis Space Solutions Limited | Awfis Space Solutions Ltd
differing_names_same_isin,INE01BK01022,Antony Waste Handling Cell Limited | Antony Waste Handling Cell Ltd
differing_names_same_isin,INE699H01024,AWL Agri Business Limited | AWL Agri Business Ltd
differing_names_same_isin,INE238A01034,AXIS Bank Ltd | Axis Bank Limited
differing_names_same_isin,INE555B01013,AXISCADES Technologies Limited | Axiscades Technologies Ltd
differing_names_same_isin,INE02EZ01022,Axita Cotton Limited | Axita Cotton Ltd
differing_names_same_isin,INE767C01012,Axtel Industries Limited | Axtel Industries Ltd
differing_names_same_isin,INE501X01029,Aye Finance Limited | Aye Finance Ltd
differing_names_same_isin,INE193B01039,AYM Syntex Limited | AYM Syntex Ltd
differing_names_same_isin,INE02IJ01035,Azad Engineering Limited | Azad Engineering Ltd
differing_names_same_isin,INE566M01017,Azad India Mobility Limited | Azad India Mobility Ltd
differing_names_same_isin,INE878I01022,Bafna Pharmaceuticals Limited | Bafna Pharmaceuticals Ltd
differing_names_same_isin,INE116D01028,B.A.G Films and Media Limited | B.A.G. Films and Media Ltd
differing_names_same_isin,INE020D01022,Baid Finserv Limited | Baid Finserv Ltd
differing_names_same_isin,INE917I01010,Bajaj Auto Limited | Bajaj Auto Ltd
differing_names_same_isin,INE933K01021,Bajaj Consumer Care Limited | Bajaj Consumer Care Ltd
differing_names_same_isin,INE193E01025,Bajaj Electricals Limited | Bajaj Electricals Ltd
differing_names_same_isin,INE918I01026,Bajaj Finserv Limited | Bajaj Finserv Ltd
differing_names_same_isin,INE411U01027,Bajaj Healthcare Limited | Bajaj Healthcare Ltd
differing_names_same_isin,INE377Y01014,Bajaj Housing Finance Limited | Bajaj Housing Finance Ltd
differing_names_same_isin,INE306A01021,Bajaj Hindusthan Sugar Limited | Bajaj Hindusthan Sugar Ltd
differing_names_same_isin,INE118A01012,Bajaj Holdings & Investment Limited | Bajaj Holdings & Investment Ltd
differing_names_same_isin,INE0O9T01021,Indef Manufacturing Limited | Indef Manufacturing Ltd
differing_names_same_isin,INE704G01024,Bajaj Steel Industries Limited | Bajaj Steel Industries Ltd
differing_names_same_isin,INE0KQN01018,Bajel Projects Limited | Bajel Projects Ltd
differing_names_same_isin,INE296A01032,Bajaj Finance Limited | Bajaj Finance Ltd
differing_names_same_isin,INE0S2G01011,Shree Tirupati Balajee Agro Trading Company Limited | Shree Tirupati Balajee Agro Trading Company Ltd
differing_names_same_isin,INE794B01026,Balaji Telefilms Limited | Balaji Telefilms Ltd
differing_names_same_isin,INE050E01027,Balaji Amines Limited | Balaji Amines Ltd
differing_names_same_isin,INE875R01011,Balkrishna Paper Mills Limited | Balkrishna Paper Mills Ltd
differing_names_same_isin,INE787D01026,Balkrishna Industries Limited | Balkrishna Industries Ltd
differing_names_same_isin,INE164A01016,Balmer Lawrie & Company Limited | Balmer Lawrie & Company Ltd
differing_names_same_isin,INE083D01012,Bal Pharma Limited | Bal Pharma Ltd
differing_names_same_isin,INE119A01028,Balrampur Chini Mills Limited | Balrampur Chini Mills Ltd
differing_names_same_isin,INE011E01029,Balu Forge Industries Limited | Balu Forge Industries Ltd
differing_names_same_isin,INE655B01011,Banaras Beads Limited | Banaras Beads Ltd
differing_names_same_isin,INE459A01010,Bannari Amman Sugars Limited | Bannari Amman Sugars Ltd
differing_names_same_isin,INE213C01025,Banco Products (I) Limited | Banco Products (India) Ltd
differing_names_same_isin,INE545U01014,Bandhan Bank Limited | Bandhan Bank Ltd
differing_names_same_isin,INE863I01016,Bang Overseas Limited | Bang Overseas Ltd
differing_names_same_isin,INE0B9K01025,Bansal Wire Industries Limited | Bansal Wire Industries Ltd
differing_names_same_isin,INE629D01020,Banswara Syntex Limited | Banswara Syntex Ltd
differing_names_same_isin,INE373A01013,BASF India Limited | BASF India Ltd
differing_names_same_isin,INE186H01022,Bannari Amman Spinning Mills Limited | Bannari Amman Spinning Mills Ltd
differing_names_same_isin,INE176A01028,Bata India Limited | Bata India Ltd
differing_names_same_isin,INE177C01022,Batliboi Limited | Batliboi Ltd
differing_names_same_isin,INE462A01022,Bayer CropScience Ltd | Bayer Cropscience Limited
differing_names_same_isin,INE464A01036,Bharat Bijlee Limited | Bharat Bijlee Ltd
differing_names_same_isin,INE676A01027,Black Box Limited | Black Box Ltd
differing_names_same_isin,INE050A01025,The Bombay Burmah Trading Corporation Limited | The Bombay Burmah Trading Corporation Ltd
differing_names_same_isin,INE01EE01011,B&B Triplewall Containers Limited | B&B Triplewall Containers Ltd
differing_names_same_isin,INE425B01027,Brightcom Group Limited | Brightcom Group Ltd
differing_names_same_isin,INE412G01024,BCL Industries Ltd | Bcl Industries Limited
differing_names_same_isin,INE977Y01011,Brand Concepts Limited | Brand Concepts Ltd
differing_names_same_isin,INE00SW01015,BCPL Railway Infrastructure Limited | BCPL Railway Infrastructure Ltd
differing_names_same_isin,INE171Z01026,Bharat Dynamics Limited | Bharat Dynamics Ltd
differing_names_same_isin,INE495P01020,Mrs. Bectors Food Specialities Limited | Mrs. Bectors Food Specialities Ltd
differing_names_same_isin,INE844K01012,Bedmutha Industries Limited | Bedmutha Industries Ltd
differing_names_same_isin,INE213D01015,Beekay Steel Industries Limited | Beekay Steel Industries Ltd
differing_names_same_isin,INE263A01024,Bharat Electronics Limited | Bharat Electronics Ltd
differing_names_same_isin,INE344T01014,Bella Casa Fashion & Retail Limited | Bella Casa Fashion & Retail Ltd
differing_names_same_isin,INE894V01022,Belrise Industries Limited | Belrise Industries Ltd
differing_names_same_isin,INE258A01024,BEML Limited | BEML Ltd
differing_names_same_isin,INE664D01019,Benares Hotels Limited | Benares Hotels Ltd
differing_names_same_isin,INE083K01017,Bengal & Assam Company Limited | Bengal & Assam Company Ltd
differing_names_same_isin,INE922A01025,Bhansali Engineering Polymers Limited | Bhansali Engineering Polymers Ltd
differing_names_same_isin,INE463A01038,Berger Paints (I) Limited | Berger Paints India Ltd
differing_names_same_isin,INE052T01021,Best Agrolife Limited | Best Agrolife Ltd
differing_names_same_isin,INE878K01010,BF Investment Limited | BF Investment Ltd
differing_names_same_isin,INE243D01012,BF Utilities Limited | BF Utilities Ltd
differing_names_same_isin,INE661I01014,BGR Energy Systems Limited | BGR Energy Systems Ltd
differing_names_same_isin,INE414D01027,Bhagiradha Chemicals & Industries Limited | Bhagiradha Chemicals & Industries Ltd
differing_names_same_isin,INE354C01027,Bhageria Industries Limited | Bhageria Industries Ltd
differing_names_same_isin,INE458B01036,Bhagyanagar India Limited | Bhagyanagar India Ltd
differing_names_same_isin,INE474E01029,Bhandari Hosiery Exports Limited | Bhandari Hosiery Exports Ltd
differing_names_same_isin,INE05XR01022,Bharat Coking Coal Limited | Bharat Coking Coal Ltd
differing_names_same_isin,INE465A01025,Bharat Forge Limited | Bharat Forge Ltd
differing_names_same_isin,INE561C01019,Bharat Gears Limited | Bharat Gears Ltd
differing_names_same_isin,INE838B01021,Bharat Rasayan Limited | Bharat Rasayan Ltd
differing_names_same_isin,INE415D01024,Bharat Seats Limited | Bharat Seats Ltd
differing_names_same_isin,INE316L01019,Bharat Wire Ropes Limited | Bharat Wire Ropes Ltd
differing_names_same_isin,INE397D01024,Bharti Airtel Limited | Bharti Airtel Ltd
differing_names_same_isin,INE343G01021,Bharti Hexacom Limited | Bharti Hexacom Ltd
differing_names_same_isin,INE257A01026,Bharat Heavy Electricals Limited | Bharat Heavy Electricals Ltd
differing_names_same_isin,INE986A01012,Bilcare Limited | Bilcare Ltd
differing_names_same_isin,INE412U01025,Bigbloc Construction Limited | Bigbloc Construction Ltd
differing_names_same_isin,INE00E101023,Bikaji Foods International Limited | Bikaji Foods International Ltd
differing_names_same_isin,INE828A01016,Bhartiya International Limited | Bhartiya International Ltd
differing_names_same_isin,INE071A01013,BIL VYAPAR LIMITED | Bil Vyapar Ltd
differing_names_same_isin,INE469A01019,Bimetal Bearings Limited | Bimetal Bearings Ltd
differing_names_same_isin,INE376G01013,Biocon Limited | Biocon Ltd
differing_names_same_isin,INE829A01014,Biofil Chemicals & Pharmaceuticals Limited | Biofil Chemicals & Pharmaceuticals Ltd
differing_names_same_isin,INE800A01015,Birla Cable Limited | Birla Cable Ltd
differing_names_same_isin,INE340A01012,Birla Corporation Limited | Birla Corporation Ltd
differing_names_same_isin,INE865C01022,Aditya Birla Money Limited | Aditya Birla Money Ltd
differing_names_same_isin,INE557A01011,BirlaNu Limited | Birlanu Ltd
differing_names_same_isin,INE372E01025,Birla Precision Technologies Limited | Birla Precision Technologies Ltd
differing_names_same_isin,INE0UIZ01018,BLACKBUCK LIMITED | Black Buck Ltd
differing_names_same_isin,INE761G01016,Black Rose Inds. Limited | Black Rose Industries Ltd
differing_names_same_isin,INE0N7W01012,BEML Land Assets Limited | BEML Land Assets Ltd
differing_names_same_isin,INE791A01024,BLB Limited | BLB Ltd
differing_names_same_isin,INE1EEM01017,Behari Lal Engineering Limited | Behari Lal Engineering Ltd
differing_names_same_isin,INE525F01025,Balmer Lawrie Investments Limited | Balmer Lawrie Investments Ltd
differing_names_same_isin,INE416D01022,Bliss GVS Pharma Limited | Bliss GVS Pharma Ltd
differing_names_same_isin,INE350H01032,B. L. Kashyap and Sons Limited | B. L. Kashyap and Sons Ltd
differing_names_same_isin,INE153T01027,BLS International Services Limited | BLS International Services Ltd
differing_names_same_isin,INE0NLT01010,BLS E-Services Limited | BLS E-Services Ltd
differing_names_same_isin,INE373T01047,Blue Cloud Softech Solutions Limited | Blue Cloud Softech Solutions Ltd
differing_names_same_isin,INE472B01011,Blue Coast Hotels Limited | Blue Coast Hotels Ltd
differing_names_same_isin,INE233B01017,Blue Dart Express Limited | Blue Dart Express Ltd
differing_names_same_isin,INE0KBH01020,Blue Jet Healthcare Limited | Blue Jet Healthcare Ltd
differing_names_same_isin,INE472A01039,Blue Star Limited | Blue Star Ltd
differing_names_same_isin,INE304W01038,BlueStone Jewellery and Lifestyle Limited | BlueStone Jewellery and Lifestyle Ltd
differing_names_same_isin,INE0U4101014,Bluspring Enterprises Limited | Bluspring Enterprises Ltd
differing_names_same_isin,INE965W01036,BMW Ventures Limited | BMW Ventures Ltd
differing_names_same_isin,INE00HZ01011,BN Agrochem Limited | BN Agrochem Ltd
differing_names_same_isin,INE489D01011,B & A Limited | B & A Ltd
differing_names_same_isin,INE338D01028,Bodal Chemicals Limited | Bodal Chemicals Ltd
differing_names_same_isin,INE032A01023,Bombay Dyeing & Manufacturing Company Ltd | Bombay Dyeing & Mfg Company Limited
differing_names_same_isin,INE0B9A01018,Bonlon Industries Limited | Bonlon Industries Ltd
differing_names_same_isin,INE16SF01016,Borana Weaves Limited | Borana Weaves Ltd
differing_names_same_isin,INE02PY01013,Borosil Limited | Borosil Ltd
differing_names_same_isin,INE666D01022,BOROSIL RENEWABLES LIMITED | Borosil Renewables Ltd
differing_names_same_isin,INE02L001032,Borosil Scientific Limited | Borosil Scientific Ltd
differing_names_same_isin,INE782A01015,BOSCH HOME COMFORT INDIA LIMITED | Bosch Home Comfort India Ltd
differing_names_same_isin,INE323A01026,Bosch Limited | Bosch Ltd
differing_names_same_isin,INE029A01011,Bharat Petroleum Corporation Limited | Bharat Petroleum Corporation Ltd
differing_names_same_isin,INE110A01019,BPL Limited | BPL Ltd
differing_names_same_isin,INE365Y01019,Bharat Parenterals Limited | Bharat Parenterals Ltd
differing_names_same_isin,INE320I01017,Brahmaputra Infrastructure Limited | Brahmaputra Infrastructure Ltd
differing_names_same_isin,INE791I01019,Brigade Enterprises Limited | Brigade Enterprises Ltd
differing_names_same_isin,INE03NU01014,Brigade Hotel Ventures Limited | Brigade Hotel Ventures Ltd
differing_names_same_isin,INE630D01010,Bright Brothers Limited | Bright Brothers Ltd
differing_names_same_isin,INE216A01030,Britannia Industries Limited | Britannia Industries Ltd
differing_names_same_isin,INE727S01012,Bharat Road Network Limited | Bharat Road Network Ltd
differing_names_same_isin,INE650L01011,Brooks Laboratories Limited | Brooks Laboratories Ltd
differing_names_same_isin,INE032Z01020,Bombay Super Hybrid Seeds Limited | Bombay Super Hybrid Seeds Ltd
differing_names_same_isin,INE594B01012,BSL Limited | BSL Ltd
differing_names_same_isin,INE836A01035,BIRLASOFT LIMITED | Birlasoft Ltd
differing_names_same_isin,INE0EEJ01023,Bodhi Tree Multimedia Limited | Bodhi Tree Multimedia Ltd
differing_names_same_isin,INE274K01012,Bhilwara Technical Textiles Limited | Bhilwara Technical Textiles Ltd
differing_names_same_isin,INE24OJ01011,Shankara Buildpro Limited | Shankara Buildpro Ltd
differing_names_same_isin,INE817H01022,Burnpur Cement Limited | Burnpur Cement Ltd
differing_names_same_isin,INE295F01017,Butterfly Gandhimathi Appliances Limited | Butterfly Gandhimathi Appliances Ltd
differing_names_same_isin,INE139I01011,Barak Valley Cements Limited | Barak Valley Cements Ltd
differing_names_same_isin,INE526B01014,California Software Company Limited | California Software Company Ltd
differing_names_same_isin,INE052I01032,Camlin Fine Sciences Limited | Camlin Fine Sciences Ltd
differing_names_same_isin,INE278Y01022,Campus Activewear Limited | Campus Activewear Ltd
differing_names_same_isin,INE596I01020,Computer Age Management Services Limited | Computer Age Management Services Ltd
differing_names_same_isin,INE477A01020,Can Fin Homes Limited | Can Fin Homes Ltd
differing_names_same_isin,INE01TY01017,Canara HSBC Life Insurance Company Limited | Canara HSBC Life Insurance Company Ltd
differing_names_same_isin,INE068L01024,Cantabil Retail India Limited | Cantabil Retail India Ltd
differing_names_same_isin,INE264T01014,Capacit'e Infraprojects Limited | Capacite Infraprojects Ltd
differing_names_same_isin,INE0ILV01024,Capillary Technologies India Limited | Capillary Technologies India Ltd
differing_names_same_isin,INE646H01017,Capital Small Finance Bank Limited | Capital Small Finance Bank Ltd
differing_names_same_isin,INE475E01026,Caplin Point Laboratories Limited | Caplin Point Laboratories Ltd
differing_names_same_isin,INE707C01018,Capital Trust Limited | Capital Trust Ltd
differing_names_same_isin,INE120A01034,Carborundum Universal Limited | Carborundum Universal Ltd
differing_names_same_isin,INE752H01013,CARE Ratings Limited | CARE Ratings Ltd
differing_names_same_isin,INE0V7W01012,Carraro India Limited | Carraro India Ltd
differing_names_same_isin,INE290S01011,CarTrade Tech Ltd | Cartrade Tech Limited
differing_names_same_isin,INE482D01024,CARYSIL LIMITED | Carysil Ltd
differing_names_same_isin,INE172A01027,Castrol India Limited | Castrol India Ltd
differing_names_same_isin,INE483S01020,AvenuesAI Limited | AvenuesAI Ltd
differing_names_same_isin,INE429I01024,Consolidated Construction Consortium Limited | Consolidated Construction Consortium Ltd
differing_names_same_isin,INE652F01027,Country Club Hospitality & Holidays Limited | Country Club Hospitality & Holidays Ltd
differing_names_same_isin,INE421D01022,CCL Products (India) Limited | CCL Products (India) Ltd
differing_names_same_isin,INE482A01020,CEAT Limited | Ceat Ltd
differing_names_same_isin,INE0AG901020,Ceigall India Limited | Ceigall India Ltd
differing_names_same_isin,INE016Q01014,Ceinsys Tech Limited | Ceinsys Tech Ltd
differing_names_same_isin,INE185H01016,Celebrity Fashions Limited | Celebrity Fashions Ltd
differing_names_same_isin,INE0LMW01024,Cello World Limited | Cello World Ltd
differing_names_same_isin,INE686A01026,Cemindia Projects Limited | Cemindia Projects Ltd
differing_names_same_isin,INE485A01015,Century Enka Limited | Century Enka Ltd
differing_names_same_isin,INE281A01026,Century Extrusions Limited | Century Extrusions Ltd
differing_names_same_isin,INE660C01027,Centrum Capital Limited | Centrum Capital Ltd
differing_names_same_isin,INE320B01020,Centum Electronics Limited | Centum Electronics Ltd
differing_names_same_isin,INE348B01021,Century Plyboards (India) Limited | Century Plyboards (India) Ltd
differing_names_same_isin,INE739E01017,Cera Sanitaryware Limited | Cera Sanitaryware Ltd
differing_names_same_isin,INE345B01019,Cerebra Integrated Technologies Limited | Cerebra Integrated Technologies Ltd
differing_names_same_isin,INE486A01021,CESC Limited | CESC Ltd
differing_names_same_isin,INE037Z01029,Concord Enviro Systems Limited | Concord Enviro Systems Ltd
differing_names_same_isin,INE700F01024,Confidence Futuristic Energetech Limited | Confidence Futuristic Energetech Ltd
differing_names_same_isin,INE180C01042,Capri Global Capital Limited | Capri Global Capital Ltd
differing_names_same_isin,INE067A01029,CG Power and Industrial Solutions Limited | CG Power and Industrial Solutions Ltd
differing_names_same_isin,INE084D01010,CG Vak Software & Exports Limited | CG Vak Software & Exports Ltd
differing_names_same_isin,INE427F01016,Chalet Hotels Limited | Chalet Hotels Ltd
differing_names_same_isin,INE085A01013,Chambal Fertilisers & Chemicals Ltd | Chambal Fertilizers & Chemicals Limited
differing_names_same_isin,INE995D01025,Chembond Material Technologies Limited | Chembond Material Technologies Ltd
differing_names_same_isin,INE0TGX01019,Chembond Chemicals Limited | Chembond Chemicals Ltd
differing_names_same_isin,INE03YM01018,Chemcon Speciality Chemicals Limited | Chemcon Speciality Chemicals Ltd
differing_names_same_isin,INE298W01016,Chemcrux Enterprises Limited | Chemcrux Enterprises Ltd
differing_names_same_isin,INE783X01023,Chemfab Alkalis Limited | Chemfab Alkalis Ltd
differing_names_same_isin,INE488A01050,Chemplast Sanmar Limited | Chemplast Sanmar Ltd
differing_names_same_isin,INE178A01016,Chennai Petroleum Corporation Limited | Chennai Petroleum Corporation Ltd
differing_names_same_isin,INE974B01016,Cheviot Company Limited | Cheviot Company Ltd
differing_names_same_isin,INE102B01014,Choice International Limited | Choice International Ltd
differing_names_same_isin,INE121A01024,Cholamandalam Investment and Finance Company Limited | Cholamandalam Investment and Finance Company Ltd
differing_names_same_isin,INE149A01033,Cholamandalam Financial Holdings Limited | Cholamandalam Financial Holdings Ltd
differing_names_same_isin,INE536H01010,CIE Automotive India Limited | CIE Automotive India Ltd
differing_names_same_isin,INE345H01024,Capital India Finance Limited | Capital India Finance Ltd
differing_names_same_isin,INE704H01022,Cineline India Limited | Cineline India Ltd
differing_names_same_isin,INE039B01026,Cinevista Limited | Cinevista Ltd
differing_names_same_isin,INE059A01026,Cipla Limited | Cipla Ltd
differing_names_same_isin,INE227W01023,Clean Science and Technology Limited | Clean Science and Technology Ltd
differing_names_same_isin,INE647U01026,Clean Max Enviro Energy Solutions Limited | Clean Max Enviro Energy Solutions Ltd
differing_names_same_isin,INE201M01029,CL Educate Limited | CL Educate Ltd
differing_names_same_isin,INE419D01026,Chaman Lal Setia Exports Limited | Chaman Lal Setia Exports Ltd
differing_names_same_isin,INE11XY01018,Caliber Mining And Logistics Ltd | Caliber Mining and Logistics Limited
differing_names_same_isin,INE05HV01027,Central Mine Planning & Design Institute Limited | Central Mine Planning & Design Institute Ltd
differing_names_same_isin,INE00WV01027,CMR Green Technologies Limited | CMR Green Technologies Ltd
differing_names_same_isin,INE925R01014,CMS Info Systems Limited | CMS Info Systems Ltd
differing_names_same_isin,INE985W01018,Creative Newtech Limited | Creative Newtech Ltd
differing_names_same_isin,INE522F01014,Coal India Limited | Coal India Ltd
differing_names_same_isin,INE377E01024,Coastal Corporation Limited | Coastal Corporation Ltd
differing_names_same_isin,INE704P01025,Cochin Shipyard Limited | Cochin Shipyard Ltd
differing_names_same_isin,INE515A01019,John Cockerill India Limited | John Cockerill India Ltd
differing_names_same_isin,INE335K01011,Coffee Day Enterprises Limited | Coffee Day Enterprises Ltd
differing_names_same_isin,INE591G01025,Coforge Limited | Coforge Ltd
differing_names_same_isin,INE03QK01018,Cohance Lifesciences Limited | Cohance Lifesciences Ltd
differing_names_same_isin,INE259A01022,Colgate Palmolive (India) Limited | Colgate Palmolive (India) Ltd
differing_names_same_isin,INE819A01049,Comfort Intech Limited | Comfort Intech Ltd
differing_names_same_isin,INE823B01015,Competent Automobiles Company Limited | Competent Automobiles Company Ltd
differing_names_same_isin,INE070C01037,Compuage Infocom Limited | Compuage Infocom Ltd
differing_names_same_isin,INE453B01029,Compucom Software Limited | Compucom Software Ltd
differing_names_same_isin,INE073V01015,Commercial Syn Bags Limited | Commercial Syn Bags Ltd
differing_names_same_isin,INE111A01025,Container Corporation of India Limited | Container Corporation of India Ltd
differing_names_same_isin,INE338H01029,Concord Biotech Limited | Concord Biotech Ltd
differing_names_same_isin,INE552D01024,Confidence Petroleum India Limited | Confidence Petroleum India Ltd
differing_names_same_isin,INE663B01015,Control Print Limited | Control Print Ltd
differing_names_same_isin,INE558D01021,Coral India Finance & Housing Limited | Coral India Finance & Housing Ltd
differing_names_same_isin,INE0LZF01039,Waterways Leisure Tourism Limited | Waterways Leisure Tourism Ltd
differing_names_same_isin,INE792I01017,Cords Cable Industries Limited | Cords Cable Industries Ltd
differing_names_same_isin,INE169A01031,Coromandel International Limited | Coromandel International Ltd
differing_names_same_isin,INE02ZQ01018,CORONA Remedies Limited | Corona Remedies Ltd
differing_names_same_isin,INE757A01017,COSMO FIRST LIMITED | Cosmo First Ltd
differing_names_same_isin,INE695B01025,Country Condo's Limited | Country Condos Ltd
differing_names_same_isin,INE521J01018,CP Capital Limited | CP Capital Ltd
differing_names_same_isin,INE0P6P01016,Career Point Edutech Limited | Career Point Edutech Ltd
differing_names_same_isin,INE536P01021,Captain Polyplast Limited | Captain Polyplast Ltd
differing_names_same_isin,INE819V01029,Aditya Infotech Limited | Aditya Infotech Ltd
differing_names_same_isin,INE00LO01017,Craftsman Automation Limited | Craftsman Automation Ltd
differing_names_same_isin,INE218I01013,Canara Robeco Asset Management Company Limited | Canara Robeco Asset Management Company Ltd
differing_names_same_isin,INE145E01017,Cravatex Limited | Cravatex Ltd
differing_names_same_isin,INE230B01021,Creative Eye Limited | Creative Eye Ltd
differing_names_same_isin,INE741K01010,CREDITACCESS GRAMEEN LIMITED | CreditAccess Grameen Ltd
differing_names_same_isin,INE559D01011,Crest Ventures Limited | Crest Ventures Ltd
differing_names_same_isin,INE007A01025,Crisil Limited | Crisil Ltd
differing_names_same_isin,INE0S4R01014,Crizac Limited | Crizac Ltd
differing_names_same_isin,INE299U01018,Crompton Greaves Consumer Electricals Limited | Crompton Greaves Consumer Electricals Ltd
differing_names_same_isin,INE716D01033,Cressanda Railway Solutions Limited | Cressanda Railway Solutions Ltd
differing_names_same_isin,INE679A01013,CSB Bank Limited | CSB Bank Ltd
differing_names_same_isin,INE718F01018,CSL Finance Limited | CSL Finance Ltd
differing_names_same_isin,INE0ZK601013,CSM Technologies Limited | CSM Technologies Ltd
differing_names_same_isin,INE627H01017,Cambridge Technology Enterprises Limited | Cambridge Technology Enterprises Ltd
differing_names_same_isin,INE491A01021,City Union Bank Limited | City Union Bank Ltd
differing_names_same_isin,INE144D01012,Cubex Tubings Limited | Cubex Tubings Ltd
differing_names_same_isin,INE298A01020,Cummins India Limited | Cummins India Ltd
differing_names_same_isin,INE509F01029,Cupid Limited | Cupid Ltd
differing_names_same_isin,INE117B01020,Cura Technologies Limited | Cura Technologies Ltd
differing_names_same_isin,INE278G01037,Cyber Media (India) Limited | Cyber Media India Ltd
differing_names_same_isin,INE214A01019,CyberTech Systems and Software Ltd | Cybertech Systems And Software Limited
differing_names_same_isin,INE136B01020,Cyient Limited | Cyient Ltd
differing_names_same_isin,INE055S01018,Cyient DLM Limited | Cyient DLM Ltd
differing_names_same_isin,INE016A01026,Dabur India Limited | Dabur India Ltd
differing_names_same_isin,INE928C01010,Dai-Ichi Karkaria Limited | Dai-Ichi Karkaria Ltd
differing_names_same_isin,INE00R701025,Dalmia Bharat Limited | Dalmia Bharat Ltd
differing_names_same_isin,INE495A01022,Dalmia Bharat Sugar and Industries Limited | Dalmia Bharat Sugar and Industries Ltd
differing_names_same_isin,INE284H01025,DAM Capital Advisors Ltd | Dam Capital Advisors Limited
differing_names_same_isin,INE497D01022,Damodar Industries Limited | Damodar Industries Ltd
differing_names_same_isin,INE365B01017,Datamatics Global Services Limited | Datamatics Global Services Ltd
differing_names_same_isin,INE0IX101010,Data Patterns (India) Limited | Data Patterns (India) Ltd
differing_names_same_isin,INE179G01029,Davangere Sugar Company Limited | Davangere Sugar Company Ltd
differing_names_same_isin,INE950I01011,D. B. Corp Ltd | D.B.Corp Limited
differing_names_same_isin,INE0OPA01027,Deepak Builders & Engineers India Limited | Deepak Builders and Engineers India Ltd
